SesID,SesFld,Subject,Age,Gender,Handedness,Block,Report,TrialNum,TrialType,PreStim,StimL,StimR,Attention,PrestimResponse,PreStimEnd,PreStimTransient,StimResponse,Eye_slope,Eye_pval,Eye_meandiff,Eye_sumdiff,Eye_stddiff,mVel500,mVel1000
1,"NZ_part10",SP,19,f,R,4,none,74,10,4,1,2,endogenous,right,-135,NaN,none,-0.169651839905485,0.00496647998715875,-0.00215368737009763,-0.0775327453235148,0.115191143414849,0.127949556171994,-0.0463452529277087
1,"NZ_part10",SP,19,f,R,4,none,75,9,3,1,2,endogenous,left,-135,NaN,none,0.0752999773911319,0.0283321934869961,-0.00139569268209334,-0.0642018633762935,0.0992350456046475,0.106455967468183,0.0909861631086754
1,"NZ_part10",SP,19,f,R,4,none,76,11,3,2,1,endogenous,left,-135,NaN,none,-0.0516211973673258,0.223855597924906,0.00324051686677273,0.152304292738318,0.111470683410118,-0.0171437865974623,0.0487554735601247
1,"NZ_part10",SP,19,f,R,4,none,77,9,3,1,2,endogenous,left,-135,NaN,none,-0.0146342694793144,0.805053312314162,-0.0011470013801113,-0.053909064865231,0.181247883031299,-0.00603366337995614,0.0236075622565165
1,"NZ_part10",SP,19,f,R,4,none,78,15,3,2,2,endogenous,left,-135,NaN,none,-0.00259916192480537,0.933695201533613,-0.000573201826918794,-0.0338189077882088,0.104230996435819,0.0053628953668745,-0.00562127500524191
1,"NZ_part10",SP,19,f,R,4,none,79,13,3,1,1,endogenous,left,-135,NaN,none,-0.115681821504527,0.00639948408998722,-0.000938666292869985,-0.0525653124007192,0.124959760725623,-0.0839304458056026,-0.207510266632789
1,"NZ_part10",SP,19,f,R,4,none,80,11,3,2,1,endogenous,left,-135,NaN,none,0.312863538521015,4.61252365078278e-08,0.000102534288577058,0.00553685158316115,0.118813672124555,0.48783977114546,0.220760944620197
1,"NZ_part10",SP,19,f,R,4,none,81,11,3,2,1,endogenous,left,-135,NaN,none,-0.152183343775276,0.0363185255370727,0.00135186502399881,0.0797600364159299,0.171802815128698,0.0839531361628183,0.0124124104700147
1,"NZ_part10",SP,19,f,R,4,none,82,9,3,1,2,endogenous,right,-135,NaN,none,-2.89580532629399,1.96726132910046e-22,-0.026874241784941,-1.58558026531152,0.210046590487103,-0.601175132692637,-1.79322184729311
1,"NZ_part10",SP,19,f,R,4,none,83,12,4,2,1,endogenous,right,-135,NaN,none,-0.141923595541506,0.00536224096156593,-0.000171177030303699,-0.0100994447879182,0.141013154686751,-0.185108887767814,-0.148052884094337
1,"NZ_part10",SP,19,f,R,4,none,84,9,3,1,2,endogenous,left,-135,NaN,none,-1.81605440105597,2.31718607823797e-12,0.00111046468851565,0.0632964872453918,0.263146886449015,-0.620630734327038,-0.520388500864192
